Li,Ni ,Co,Mn,sin_temp,sin_t,cut_off,m_temp,c_rate,Dis_cap
1.31,0.02,0.02,0.65,900,10,4.8,20,0.05,184
1.27,0.05,0.05,0.63,900,10,4.8,25,0.05,195
1.2,0.1,0.1,0.6,900,10,4.8,25,0.05,268
1.11,0.17,0.17,0.55,900,10,4.8,25,0.05,249
1.05,0.21,0.21,0.53,900,10,4.8,25,0.05,230
1.2,0.15,0.1,0.55,900,6,4.8,25,0.1,236.1
1.2,0.15,0.1,0.55,900,6,4.8,55,0.1,296.2
1.2,0.17,0.16,0.47,950,10,4.8,25,0.077,195.1
1.2,0.13,0.13,0.54,850,20,4.8,25,0.1,289.7
1.2,0.13,0.13,0.54,850,20,4.8,60,0.1,267.5
1.2,0.12,0.12,0.56,900,12,4.8,22,0.5,236.7
1.2,0.12,0.12,0.56,900,12,4.8,22,0.5,264.6
1.2,0.12,0.12,0.56,900,12,4.8,22,0.5,209.8
1.2,0.12,0.12,0.56,900,12,4.8,22,0.5,156.3
1.2,0.16,0.08,0.56,800,15,4.8,40,0.1,296
1.2,0.1,0.1,0.6,800,8,5,25,0.2,242
1.2,0.13,0.13,0.54,800,10,4.8,25,0.1,309.9
1.2,0.175,0.1,0.525,900,16,4.9,25,0.2,260
1.2,0.17,0.07,0.56,900,12,4.8,25,0.1,201
1.144,0.136,0.136,0.544,850,15,4.6,20,0.1,292.1
1.144,0.136,0.136,0.544,850,15,4.6,30,0.1,259.9
1.144,0.136,0.136,0.544,850,15,4.6,20,0.1,221.4
1.16,0.12,0.12,0.6,900,12,4.8,30,0.2,278
1.16,0.12,0.12,0.6,650,24,4.8,30,0.2,302
1.2,0.12,0.12,0.56,900,12,4.8,25,0.5,258.3
1.17,0.17,0.1,0.56,850,12,4.6,25,0.05,253.9
1.23,0.09,0.12,0.56,900,10,4.8,25,0.1,250.8
1.2,0.17,0.16,0.47,950,10,4.8,25,0.06,195
1.2,0.175,0.1,0.525,900,16,4.9,25,0.2,260
1.2,0.13,0.13,0.54,950,12,4.8,25,0.05,257.43
1.2,0.2,0,0.6,900,6,4.8,25,0.1,256.4
1.2,0.17,0.07,0.56,900,12,4.8,25,0.08,291
1.17,0.25,0,0.58,850,10,4.8,30,0.1,260.8
1.2,0.15,0.1,0.55,900,6,4.8,25,0.084,252
1.2,0.13,0.13,0.54,900,12,4.8,25,0.05,279
1.17,0.25,0,0.58,750,20,4.8,30,0.1,223.8
1.2,0.17,0.07,0.56,900,12,4.8,25,0.08,290
1.2,0.13,0.13,0.54,900,12,4.8,25,0.1,273
1.2,0.175,0.1,0.525,900,12,4.8,25,0.1,280.7
1.2,0.13,0.13,0.54,800,5,4.8,25,0.05,264.7
1.2,0.13,0.13,0.54,750,3,4.8,25,1,251.9
1.2,0.13,0.13,0.54,900,8,4.8,25,0.2,277.3
1.13,0.2,0.2,0.47,800,6,4.8,25,0.1,218.2
1.2,0.13,0.13,0.54,850,10,4.8,25,1,277.4
1.14,0.25,0.14,0.47,900,8,4.8,25,0.05,279.4
1.2,0.2,0,0.6,900,12,4.8,30,0.1,295
1.2,0.2,0,0.6,850,12,4.8,25,0.1,280
1.2,0.15,0.1,0.55,900,6,4.8,25,0.1,236.1
1.2,0.15,0.1,0.55,900,6,4.8,55,0.1,296.2
1.143,0.136,0.36,0.544,850,10,4.6,25,0.1,257
1.2,0.13,0.13,0.54,900,12,4.8,25,0.5,269.1
1.2,0.13,0.13,0.54,820,15,4.7,25,0.05,306
1.2,0.32,0.04,0.44,820,15,4.7,25,0.05,250
1.35,0.35,0,0.65,900,5,4.8,25,0.05,193.2
1.2,0.4,0,0.36,850,10,4.8,25,1,170
1.13,0.3,0,0.57,900,12,4.8,25,0.1,120
1.2,0.2,0,0.6,900,6,4.8,25,0.1,256.4
1.2,0.2,0,0.6,900,12,4.8,25,0.05,217
1.2,0.16,0.08,0.56,900,12,4.8,25,0.05,227
1.2,0.13,0.13,0.54,950,12,4.8,25,0.05,240
1.2,0.12,0.16,0.52,900,12,4.8,25,0.05,252
1.2,0.1,0.2,0.5,950,12,4.8,25,0.05,262
1.2,0.08,0.24,0.48,950,12,4.8,25,0.05,267
1.2,0.2,0,0.6,900,12,4.8,25,0.1,247.22
1.2,0.2,0,0.6,900,12,4.8,25,0.5,234
1.2,0.2,0,0.6,900,12,4.8,25,1,228
1.2,0.2,0,0.6,900,12,4.8,25,2,210.2
1.2,0.2,0,0.6,900,12,4.8,55,2,228
1.2,0.13,0.13,0.54,900,18,4.8,25,0.05,290.1
1.2,0.15,0.1,0.55,900,3,4.8,23,0.3333,208.8512348
1.175,0.193,0.085,0.528,900,10,4.8,25,0.1,235.5
1.175,0.193,0.085,0.528,900,10,4.8,25,1,160
1.2,0.16,0.08,0.56,900,16,4.8,25,0.1,264
1.2,0.16,0.08,0.56,900,16,4.8,25,1,234
1.2,0.16,0.08,0.56,900,1,4.8,25,0.1,292.6
1.2,0.16,0.08,0.56,900,1,4.8,25,1,236.8
1.2,0.16,0.08,0.56,900,1,4.8,25,0.1,256.9
1.2,0.16,0.08,0.56,900,1,4.8,25,1,238
1.2,0.2,0,0.6,900,12,4.8,30,0.1,247.3
1.2,0,0,0.8,900,5,4.8,25,0.1,22
1.2,0.1,0,0.7,900,5,4.8,25,0.1,76
1.2,0.2,0,0.6,900,5,4.8,25,0.1,244
1.2,0.3,0,0.5,900,5,4.8,25,0.1,222
1.2,0.4,0,0.4,900,5,4.8,25,0.1,193
1.2,0.13,0.13,0.52,900,12,4.8,25,0.1,251.76
1.2,0.13,0.13,0.52,900,12,4.8,25,0.1,249.9
1.2,0.13,0.13,0.52,900,12,4.8,25,0.1,247.5
1.2,0.13,0.13,0.52,900,12,4.8,25,0.1,235.92
1.2,0.13,0.13,0.54,800,12,4.8,25,1,180
1.2,0.13,0.13,0.53,900,12,4.8,25,1,195
1.2,0.13,0.13,0.52,900,12,4.8,25,1,225
1.2,0.13,0.13,0.51,900,12,4.8,25,1,195
1.2,0.13,0.13,0.54,900,12,4.8,25,0.1,234.2
1.2,0.13,0.13,0.53,900,12,4.8,25,0.1,238.6
1.2,0.13,0.13,0.52,900,12,4.8,25,0.1,259.2
1.2,0.13,0.13,0.51,900,12,4.8,25,0.1,245.8
1.2,0.13,0.13,0.5,900,12,4.8,25,0.1,237.5
1.142,0.137,0.145,0.559,850,15,4.8,25,0.1,270
1.144,0.136,0.136,0.544,850,15,4.8,28,0.05,276
1.14,0.133,0.133,0.544,850,15,4.8,25,0.1,287
1.2,0.13,0.13,0.54,950,16,4.6,25,1,155.1
1.35,0.35,0,0.65,900,5,4.8,25,0.05,193.2
1.2,0.2,0,0.6,900,12,4.8,30,0.05,253
1.13,0.242,0.122,0.503,750,12,4.8,25,0.1,237.4
1.13,0.242,0.122,0.504,800,12,4.8,25,0.1,246.5
1.13,0.242,0.122,0.504,850,12,4.8,25,0.1,235.1
1.13,0.243,0.122,0.503,900,12,4.8,25,0.1,177.4
1.2,0.13,0.13,0.54,950,10,4.8,25,0.1,250
1.2,0.13,0.13,0.54,800,12,4.8,25,0.1,276
1.2,0.13,0.13,0.54,850,15,4.6,25,0.05,285.6
1.2,0.13,0.13,0.54,900,12,4.8,30,0.1,254.7
1.2,0.17,0.07,0.56,900,12,4.8,25,0.1,201
1.2,0.13,0.13,0.54,900,12,4.8,25,0.05,275.8
1.2,0.16,0.56,0.08,800,16,4.8,25,0.08,298.1
1.2,0.13,0.13,0.54,900,12,4.8,25,0.1,237.4
1.2,0.16,0.08,0.56,800,16,4.8,60,0.08,263.9
1.2,0.16,0.08,0.56,800,16,4.8,25,0.08,298.1
1.2,0.13,0.13,0.54,900,12,4.8,25,0.2,236.9
1.2,0.13,0.13,0.54,900,20,4.8,25,0.1,300.5
1.2,0.2,0,0.6,900,12,4.8,25,0.1,225
1.14,0.133,0.133,0.544,850,15,4.8,25,0.1,285
1.03,0.2,0,0.56,900,12,4.8,25,0.33,223
1.2,0.13,0.13,0.54,900,12,4.6,25,0.05,261.3
1.2,0.13,0.13,0.54,850,10,4.8,25,0.1,275.6
1.2,0.13,0.13,0.54,800,10,4.8,25,1,109
1.2,0.13,0.13,0.54,900,20,4.8,25,0.1,249.8
1.2,0.2,0,0.6,950,10,4.8,25,0.1,256
1.2,0.13,0.13,0.54,800,12,4.8,25,0.1,276
1.2,0.13,0.13,0.54,900,12,4.8,30,0.08,302
1.2,0.2,0,0.6,800,12,4.8,25,0.1,243.3
1.2,0.13,0.13,0.54,900,12,4.8,25,0.1,251.76
1.2,0.13,0.13,0.54,850,12,4.8,25,0.1,255
1.2,0.2,0,0.6,900,12,4.8,30,0.1,250
1.2,0.13,0.13,0.54,800,12,4.8,25,0.1,256.7
1.2,0.13,0.13,0.54,800,12,4.8,25,1,205
1.2,0.13,0.13,0.54,800,12,4.8,25,2,150
1.2,0.13,0.13,0.54,800,12,4.8,25,5,125
1.2,0.13,0.13,0.54,950,12,4.8,25,0.1,251.7
1.2,0.13,0.13,0.54,950,12,4.8,25,0.2,231.2
1.2,0.13,0.13,0.54,950,12,4.8,25,0.5,182.3
1.2,0.13,0.13,0.54,950,12,4.8,25,1,152.6
1.2,0.13,0.13,0.54,950,12,4.8,25,2,130.3
1.2,0.13,0.13,0.54,950,12,4.8,25,5,93.5
1.2,0.13,0.13,0.54,950,12,4.8,45,0.5,189.3
1.2,0.2,0,0.6,900,6,4.8,20,0.1,192
1.2,0.13,0.13,0.54,840,12,4.4,25,0.1,92
1.2,0.13,0.13,0.54,840,12,4.6,25,0.1,198
1.2,0.13,0.13,0.54,840,12,4.8,25,0.1,254
1.2,0.13,0.13,0.54,840,12,5,25,0.1,256
1.2,0.13,0.13,0.54,800,16,4.8,25,0.1,290.1
1.2,0.13,0.13,0.54,800,16,4.8,60,1,275.6
1.2,0.2,0,0.6,950,10,4.8,25,0.1,255
1.2,0.13,0.13,0.54,900,3,4.8,25,0.1,249
1.2,0.13,0.13,0.54,900,3,4.8,25,0.1,265
1.2,0.13,0.13,0.54,900,12,4.8,25,0.1,273
1.2,0.13,0.13,0.54,900,3,4.8,25,0.2,225
1.2,0.13,0.13,0.54,900,3,4.8,25,0.2,245
1.2,0.13,0.13,0.54,900,20,4.8,25,0.2,255
1.2,0.13,0.13,0.54,900,3,4.8,25,0.5,210
1.2,0.13,0.13,0.54,900,3,4.8,25,0.5,225
1.2,0.13,0.13,0.54,900,20,4.8,25,0.5,260
1.2,0.13,0.13,0.54,900,3,4.8,22,1,185
1.2,0.13,0.13,0.54,900,3,4.8,25,1,210
1.2,0.13,0.13,0.54,900,12,4.8,25,1,225
1.2,0.13,0.13,0.54,900,3,4.8,25,2,175
1.2,0.13,0.13,0.54,900,3,4.8,22,2,190
1.2,0.13,0.13,0.54,800,12,4.8,25,2,205
1.2,0.13,0.13,0.54,900,3,4.8,25,5,150
1.2,0.13,0.13,0.54,900,3,4.8,25,5,164
1.2,0.13,0.13,0.54,900,16,4.8,25,5,178
1.2,0.15,0.1,0.55,900,12,4.8,25,0.03125,232
1.2,0.13,0.13,0.54,900,16,4.6,25,1,142.82
1.2,0.13,0.13,0.54,900,16,4.6,55,1,59
1.2,0.2,0.05,0.58,850,10,4.8,25,0.1,296.7
1.2,0.2,0,0.6,900,12,4.8,25,0.1,225
1.2,0.13,0.13,0.54,900,12,4.8,25,0.1,250
1.2,0.2,0,0.6,850,12,4.8,25,0.5,220
1.2,0.13,0.13,0.54,850,12,4.8,25,0.1,260
1.2,0.13,0.13,0.54,350,2,4.8,25,0.1,260
1.2,0.2,0,0.6,900,12,4.8,25,0.1,262.6
1.2,0.13,0.13,0.54,800,12,4.8,25,0.1,250
1.2,0.13,0.13,0.54,750,8,4.8,25,0.05,228.7
1.2,0.13,0.13,0.54,900,12,4.8,25,0.1,225
1.15,0.13,0.11,0.57,850,15,4.8,25,0.1,250
1.2,0.13,0.13,0.54,900,18,4.8,25,0.05,280
1.2,0.13,0.13,0.54,950,12,4.8,25,0.1,250
1.2,0.13,0.13,0.54,900,12,4.8,25,0.1,200
1.2,0.24,0,0.76,900,6,4.8,25,0.1,225
1.2,0.13,0.13,0.54,800,12,4.8,25,0.1,292.6
1.13,0.13,0.14,0.54,850,10,4.8,25,0.1,225
1.2,0.13,0.13,0.54,900,12,4.8,25,0.1,210
1.2,0.13,0.13,0.54,900,18,4.8,25,0.1,300
1.2,0.13,0.13,0.54,900,15,4.7,25,0.1,250
1.2,0.13,0.13,0.54,950,12,4.8,25,0.05,325
1.2,0.2,0,0.6,1000,12,4.6,25,0.05,280
1.2,0.25,0,0.55,1000,12,4.6,25,0.05,260
1.2,0.3,0,0.5,1000,12,4.6,25,0.05,210
1.2,0.13,0.13,0.54,850,15,4.8,25,0.08,235
1.2,0.13,0.13,0.54,800,12,4.8,25,0.1,240
1.2,0.2175,0.0725,0.51,900,12,4.8,22,0.1,256.85
1.2,0.2175,0.0725,0.51,900,12,4.8,22,0.1,185.09
1.2,0.2175,0.0725,0.51,900,12,4.8,22,0.1,148.32
1.2,0.13,0.13,0.54,900,18,4.8,25,1,275.6
1.2,0.13,0.13,0.54,900,18,4.8,25,0.05,284
1.2,0.15,0.1,0.55,900,15,4.8,25,0.1,250
1.098,0.113,0.138,0.533,900,12,4.6,25,0.1,250
1.175,0.158,0.125,0.543,800,10,4.8,25,1,272.7
1.175,0.158,0.125,0.543,800,10,4.8,25,1,228.3
1.175,0.158,0.125,0.543,800,10,4.8,25,3,178
1.175,0.158,0.125,0.543,800,10,4.8,25,3,161
1.175,0.158,0.125,0.543,800,10,4.8,25,5,159
1.175,0.158,0.125,0.543,800,10,4.8,25,5,143
1.33,0.18,0.07,0.42,900,3,4.9,25,0.05,290
1.33,0.18,0.07,0.42,900,3,4.9,25,0.25,250
1.33,0.18,0.07,0.42,900,3,4.9,25,1,220
1.2,0.13,0.13,0.54,500,6,4.8,25,0.05,280
1.2,0.2,0,0.6,900,4,4.8,25,0.1,288.6
1.144,0.136,0.136,0.544,850,15,4.7,25,1,274
1.2,0.13,0.13,0.54,900,12,4.7,25,5,308
1.2,0.2,0,0.6,900,10,4.7,25,5,280.1
1.14,0.18,0,0.62,850,10,4.7,25,5,290
1.2,0.13,0.13,0.13,800,12,4.3,25,10,244
1.2,0.13,0,0.75,900,12,4.7,25,10,275
1.16,0.25,0,0.6,800,10,4.7,25,5,293
1.2,0.2,0,0.6,850,12,4.7,25,2,273.3
1.2,0.2,0,0.6,900,12,4.8,25,4,246.6
1.15,0.25,0,0.6,950,12,4.7,25,7,311
1.2,0.16,0.56,0.08,800,10,4.7,25,5,267.52
1.2,0.12,0.12,0.56,900,12,4.7,25,5,261
1.2,0.13,0.13,0.54,850,16,4.6,25,10,250.2
1.2,0.13,0.13,0.54,850,20,4.7,25,0.1,289.7
1.144,0.136,0.136,0.544,850,15,4.4,25,8,240
1.2,0.13,0.13,0.54,350,4,4.6,25,10,285.8
1.17,0.2,0.05,0.58,850,10,4.8,25,0.1,269.1
1.2,0.13,0.13,0.54,950,24,4.8,25,0.05,291
1.2,0.13,0.13,0.54,850,24,4.8,25,0.1,240
1.12,0.445,0.178,0.267,850,14,4.8,25,0.05,224.6
1.15,0.17,0.17,0.51,900,10,4.35,25,0.5,150
1.09,0.32,0.043,0.55,900,10,4.6,25,0.5,200
1.2,0.13,0.13,0.54,800,12,4.8,25,1,205
1.2,0.175,0.1,0.525,850,1,4.4,25,5,60
1.2,0.2,0,0.6,900,12,4.8,25,0.1,213.6
1.2,0.13,0.13,0.54,900,12,4.8,25,0.1,294
1.2,0.13,0.13,0.54,800,12,4.8,25,0.1,275
1.1,0.3,0.3,0.3,850,12,4.3,25,8,123
1.2,0.2,0,0.6,900,12,4.8,25,0.1,228
1.1111,0.333,0,0.5556,900,3,4.8,55,0.1667,120
1.1111,0.333,0,0.5556,900,3,4.8,30,0.1667,120
1.05556,0.4167,0,0.5278,900,3,4.8,30,0.1667,164
1.05556,0.4167,0,0.5278,900,3,4.8,55,0.1667,164
1.05556,0.4167,0,0.5278,900,3,4.8,30,0.02778,171
1.05556,0.4167,0,0.5278,900,3,4.8,30,0.05556,170
1.05556,0.4167,0,0.5278,900,3,4.8,30,0.1111,164
1.05556,0.4167,0,0.5278,900,3,4.8,30,0.2222,160
1.05556,0.4167,0,0.5278,900,3,4.8,30,0.4444,169
1.05556,0.4167,0,0.5278,900,3,4.8,30,0.6667,163
1.05556,0.4167,0,0.5278,900,3,4.8,30,1,161
1.05556,0.4167,0,0.5278,900,3,4.8,30,1.111,155
1.05556,0.4167,0,0.5278,900,3,4.8,30,2.222,148
1.05556,0.4167,0,0.5278,900,3,4.8,30,0.1667,164
1.2,0.2,0,0.6,900,12,4.8,25,0.05,214.5
1.2,0.2,0,0.6,900,12,4.8,25,0.05,140.6
1.2,0.2,0,0.6,900,12,4.8,25,0.05,90.2
1.2,0.2,0,0.6,900,12,4.8,25,0.05,82.1
1.2,0.13,0.13,0.54,900,12,4.8,25,0.1,307.9
1.2,0.13,0.13,0.54,900,12,4.8,25,0.1,245.4
1.2,0.13,0.13,0.54,900,12,4.8,25,1,225
1.2,0.13,0.13,0.54,900,12,4.8,25,1,225
1.13,0.26,0.09,0.52,900,10,4.8,25,0.05556,242.9
1.2,0.2,0,0.6,900,24,4.8,25,0.1,237
1.2,0.2,0,0.6,900,15,4.8,30,0.2,250
1.2,0.15,0.1,0.55,900,12,4.8,25,0.04,232
1.2,0.13,0.13,0.54,850,10,4.8,25,0.16,225
